nvalues,tauhats_Y,sehats_Y,lb_Y,ub_Y,tauhats_X,sehats_X,lb_X,ub_X
10,0.015320267209739391,0.44039613445980047,-0.8478561563314695,0.8784966907509484,0.21532026720973946,0.44039613445980047,-0.6478561563314695,1.0784966907509483
15,0.09871746977813303,0.24308089091058255,-0.3777210764066088,0.5751560159628748,0.298717469778133,0.24308089091058255,-0.17772107640660878,0.7751560159628748
20,-0.16174681032842897,0.18082019710300998,-0.5161543966503286,0.1926607759934706,0.03825318967157111,0.18082019710300998,-0.31615439665032846,0.39266077599347066
25,0.10237217129619891,0.3735044318668132,-0.6296965151627549,0.8344408577551528,0.30237217129619887,0.3735044318668132,-0.429696515162755,1.0344408577551527
30,0.6355406243462117,0.41579796152410914,-0.1794233802410422,1.4505046289334658,0.8355406243462116,0.4157979615241092,0.020576619758957526,1.6505046289334655
35,0.1324638209924352,0.3634032900320361,-0.5798066274703555,0.844734269455226,0.3324638209924352,0.3634032900320361,-0.37980662747035554,1.044734269455226
40,0.264805650396072,0.2578466799589254,-0.24057384232342177,0.7701851431155657,0.464805650396072,0.2578466799589254,-0.04057384232342176,0.9701851431155658
45,0.659081424932321,0.35990339748618727,-0.04632923414060597,1.364492084005248,0.859081424932321,0.3599033974861872,0.1536707658593941,1.5644920840052479
50,0.7059822905237129,0.34713016942553626,0.02560715844966177,1.386357422597764,0.9059822905237128,0.3471301694255362,0.22560715844966184,1.586357422597764
55,0.23561049815002516,0.25057813286013636,-0.2555226422558421,0.7267436385558924,0.4356104981500252,0.2505781328601363,-0.055522642255841914,0.9267436385558924
60,-0.09457885240330617,0.23574411034478235,-0.5566373086790796,0.36747960387246725,0.10542114759669383,0.23574411034478235,-0.3566373086790796,0.5674796038724672
65,0.3683965765324122,0.26851432059929004,-0.1578914918421963,0.8946846449070207,0.5683965765324122,0.26851432059929004,0.04210850815780365,1.0946846449070207
70,-0.06653734260601687,0.1939054351447775,-0.4465919954897808,0.313517310277747,0.13346265739398305,0.1939054351447775,-0.24659199548978084,0.5135173102777469
75,-0.14120044274817095,0.20485981005770562,-0.542725670461274,0.26032478496493205,0.05879955725182904,0.20485981005770562,-0.34272567046127395,0.46032478496493207
80,0.19814598232978708,0.18194786112640557,-0.15847182547796784,0.554763790137542,0.3981459823297871,0.18194786112640557,0.04152817452203217,0.754763790137542
85,0.0976218774239246,0.15999668402898762,-0.21597162327289116,0.4112153781207403,0.29762187742392465,0.15999668402898762,-0.01597162327289109,0.6112153781207403
90,0.28392386707875744,0.1707980011140563,-0.05084021510479292,0.6186879492623079,0.4839238670787575,0.1707980011140563,0.14915978489520715,0.8186879492623078
95,0.41178527438211254,0.2097604374580502,0.0006548169643341706,0.822915731799891,0.6117852743821126,0.2097604374580502,0.20065481696433424,1.022915731799891
100,-0.1193767761558941,0.1894919449982551,-0.49078098835247413,0.25202743604068595,0.08062322384410586,0.1894919449982551,-0.2907809883524742,0.4520274360406859
105,-0.08997897127950777,0.15543081032854741,-0.39462335952346067,0.21466541696444513,0.1100210287204922,0.15543081032854741,-0.19462335952346071,0.4146654169644451
110,0.2005020774994768,0.19404016306826932,-0.17981664211433107,0.5808207971132846,0.40050207749947675,0.19404016306826932,0.020183357885668884,0.7808207971132846
115,0.12540400795647308,0.19243008298085887,-0.2517589546860103,0.5025669705989565,0.32540400795647306,0.1924300829808589,-0.05175895468601038,0.7025669705989566
120,0.6027495040718526,0.14898460377740752,0.31073968066813384,0.8947593274755713,0.8027495040718526,0.14898460377740752,0.5107396806681339,1.0947593274755714
125,0.20145027420959893,0.16786883503812106,-0.12757264246511835,0.5304731908843162,0.401450274209599,0.16786883503812106,0.07242735753488172,0.7304731908843163
130,0.15698283990477363,0.12784555545287313,-0.09359444878285772,0.407560128592405,0.3569828399047737,0.12784555545287313,0.10640555121714235,0.607560128592405
135,0.514198212540972,0.17110893655875084,0.1788246968858203,0.8495717281961237,0.7141982125409722,0.17110893655875084,0.3788246968858205,1.0495717281961239
140,0.12851809360884994,0.14539860093303578,-0.15646316421990017,0.4134993514376001,0.32851809360885,0.14539860093303578,0.04353683578009987,0.6134993514376001
145,0.34840083367601393,0.13260536482001925,0.08849431862877621,0.6083073487232517,0.548400833676014,0.13260536482001925,0.2884943186287763,0.8083073487232517
150,0.21940153846760885,0.1441727870099379,-0.06317712407186943,0.5019802010070871,0.41940153846760897,0.14417278700993794,0.13682287592813064,0.7019802010070872
155,0.3345556388666331,0.15532324627499328,0.030122076167646283,0.6389892015656199,0.5345556388666332,0.15532324627499328,0.23012207616764635,0.83898920156562
160,0.1362726236524745,0.14180814575575482,-0.14167134202880494,0.41421658933375394,0.3362726236524745,0.14180814575575482,0.058328657971195075,0.6142165893337539
165,0.2896168980517437,0.13792901558056714,0.019276027513832117,0.5599577685896553,0.4896168980517437,0.13792901558056714,0.21927602751383213,0.7599577685896552
170,0.14906560844135605,0.16524434408532604,-0.174813305965883,0.4729445228485951,0.34906560844135603,0.16524434408532604,0.025186694034116996,0.6729445228485951
175,0.09415640102581957,0.14774541966400612,-0.1954246215156324,0.38373742356727153,0.29415640102581964,0.14774541966400612,0.004575378484367676,0.5837374235672717
180,0.07444164976547518,0.1372042969768641,-0.19447877230917843,0.3433620718401288,0.2744416497654752,0.1372042969768641,0.005521227690821584,0.5433620718401289
185,0.22192725384391018,0.13222856947882855,-0.03724074233459376,0.48109525002241416,0.4219272538439102,0.13222856947882855,0.16275925766540628,0.6810952500224141
190,0.3440673365618785,0.14791276916025914,0.05415830900777058,0.6339763641159863,0.5440673365618784,0.1479127691602591,0.2541583090077706,0.8339763641159863
195,0.018205564788848258,0.14017598106277784,-0.2565393580941963,0.29295048767189286,0.21820556478884823,0.14017598106277784,-0.05653935809419636,0.4929504876718928
200,0.1905353786672853,0.12593327041557312,-0.056293831347238005,0.4373645886818086,0.39053537866728527,0.12593327041557312,0.14370616865276198,0.6373645886818086
205,0.35092179016897274,0.14543494677527175,0.06586929448944012,0.6359742858485053,0.5509217901689728,0.14543494677527175,0.2658692944894402,0.8359742858485054
210,0.30697507768366117,0.11485896250784133,0.08185151116829215,0.5320986441990302,0.5069750776836611,0.11485896250784133,0.2818515111682921,0.7320986441990301
215,0.1349655446336289,0.1395231208562237,-0.13849977224456958,0.4084308615118274,0.3349655446336287,0.13952312085622368,0.06150022775543029,0.6084308615118271
220,0.22246215872676206,0.12213515768796712,-0.016922750341653497,0.4618470677951776,0.42246215872676207,0.12213515768796711,0.18307724965834654,0.6618470677951775
225,0.22178713808507589,0.11435635803854066,-0.002351323670463812,0.4459255998406156,0.42178713808507584,0.11435635803854066,0.19764867632953614,0.6459255998406155
230,0.4949498917368287,0.1262628631791122,0.24747467990576877,0.7424251035678886,0.6949498917368286,0.1262628631791122,0.4474746799057687,0.9424251035678886
235,-0.1286004618805459,0.1101592265047476,-0.34451254582985125,0.08731162206875939,0.07139953811945413,0.11015922650474759,-0.14451254582985115,0.2873116220687594
240,0.20700409590203406,0.13142116162796696,-0.05058138088878117,0.4645895726928493,0.4070040959020341,0.131421161627967,0.14941861911121884,0.6645895726928495
245,0.15676876780170443,0.10664660481921073,-0.05225857764394862,0.3657961132473575,0.3567687678017045,0.10664660481921073,0.14774142235605148,0.5657961132473576
250,0.13200519658617021,0.10661026637836137,-0.07695092551541804,0.3409613186877585,0.3320051965861702,0.10661026637836137,0.12304907448458197,0.5409613186877584
255,0.37329459759530137,0.11871041580406202,0.14062218261933981,0.605967012571263,0.5732945975953014,0.11871041580406202,0.34062218261933985,0.805967012571263
260,0.16791788421314963,0.12868421451048218,-0.08430317622739542,0.42013894465369467,0.36791788421314964,0.12868421451048218,0.1156968237726046,0.6201389446536947
265,0.21931551346880054,0.11753832796827642,-0.011059609349021227,0.4496906362866223,0.4193155134688006,0.1175383279682764,0.18894039065097884,0.6496906362866224
270,0.029581573675626402,0.10787643290738073,-0.18185623482283986,0.24101938217409263,0.22958157367562643,0.10787643290738073,0.01814376517716018,0.44101938217409264
275,0.26537855541149785,0.1081782866065435,0.053349113662672615,0.4774079971603231,0.4653785554114978,0.10817828660654352,0.25334911366267254,0.6774079971603231
280,0.2333224600256741,0.10271400698780249,0.032003006329581224,0.43464191372176697,0.4333224600256742,0.10271400698780249,0.23200300632958132,0.6346419137217671
285,0.10577150886827774,0.11296131321005332,-0.11563266502342676,0.3271756827599822,0.3057715088682778,0.11296131321005332,0.08436733497657331,0.5271756827599823
290,0.22791342996842956,0.10141229750547961,0.02914532685768953,0.42668153307916956,0.4279134299684295,0.10141229750547961,0.22914532685768949,0.6266815330791695
295,0.23437735271993382,0.09152663191562485,0.05498515416530911,0.4137695512745585,0.43437735271993383,0.09152663191562485,0.2549851541653091,0.6137695512745586
300,0.15003623373226507,0.10582877600232744,-0.0573881672322967,0.3574606346968269,0.35003623373226506,0.10582877600232744,0.14261183276770328,0.5574606346968268
305,0.08498934748784182,0.10313899320283552,-0.1171630791897158,0.28714177416539943,0.2849893474878419,0.10313899320283552,0.08283692081028426,0.4871417741653995
310,0.06032491558329063,0.0960041423700054,-0.12784320346191996,0.2484930346285012,0.26032491558329063,0.0960041423700054,0.07215679653808005,0.4484930346285012
315,0.1352587511794568,0.09399477384492763,-0.04897100555660136,0.319488507915515,0.3352587511794568,0.09399477384492763,0.15102899444339865,0.5194885079155149
320,0.18921778095837308,0.10914147893951986,-0.02469951776308585,0.403135079679832,0.3892177809583731,0.10914147893951986,0.1753004822369142,0.603135079679832
325,0.22023023365035083,0.10072547883324887,0.02280829513718305,0.4176521721635186,0.42023023365035084,0.10072547883324887,0.22280829513718306,0.6176521721635186
