nvalues,tauhats,sehats,lb,ub
10,0.2017811892411141,0.8881552297137074,-1.5390030609977523,1.9425654394799805
15,0.7628328164897399,0.5933728293600949,-0.4001779290560462,1.925843562035526
20,-0.6357651022430458,0.5642227807337652,-1.7416417524812258,0.470111547995134
25,0.40201399984892705,0.5228460346674411,-0.6227642280992575,1.4267922277971117
30,-0.27786239221186393,0.42258887496439224,-1.1061365871420727,0.5504118027183449
35,0.13604543003125041,0.42841183442651287,-0.7036417654447149,0.9757326255072156
40,0.3707795776307949,0.29893404990802264,-0.21513116018892947,0.9566903154505193
45,-0.25729081586989044,0.3292429244668824,-0.90260694782498,0.3880253160851991
50,-0.2203686736352694,0.3654598500924939,-0.9366699798165574,0.49593263254601855
55,0.592511628816329,0.2582440965231758,0.08635319963090438,1.0986700580017537
60,0.16149836325578099,0.33664553761604504,-0.4983268904716673,0.8213236169832292
65,0.06997254453804919,0.3331094463626015,-0.5829219703326498,0.7228670594087481
70,0.16811690182002412,0.28232065225725467,-0.38523157660419505,0.7214653802442433
75,-0.13013108096648054,0.23813342730202947,-0.5968725984784583,0.33661043654549716
80,0.31677041999291655,0.2677516541946658,-0.20802282222862833,0.8415636622144614
85,0.41909980808355307,0.27458530312298957,-0.11908738603750646,0.9572870022046126
90,0.4302922335911286,0.2497333030209176,-0.059185040329869876,0.919769507512127
95,0.6182870563925019,0.23662068134326394,0.15451052095970458,1.0820635918252992
100,0.050207368749417114,0.2497854219170911,-0.43937205820808145,0.5397867957069157
105,0.3196357504111505,0.2366946179367047,-0.14428570074479075,0.7835572015670917
110,-0.06805798914735892,0.22794551970748564,-0.5148312077740308,0.3787152294793129
115,0.5137874772648171,0.22994247057747294,0.06310023493297012,0.9644747195966641
120,0.34870182461358784,0.21475629117511955,-0.07222050608964647,0.7696241553168222
125,0.00036825104160624275,0.1926165873931663,-0.3771602602489997,0.3778967623322122
130,0.24726565292096947,0.198927497380634,-0.14263224194507318,0.6371635477870121
135,-0.41484646576479206,0.2018282192934489,-0.8104297755799519,-0.019263155949632182
140,0.4427015559781075,0.20576016799950947,0.03941162669906895,0.8459914852571461
145,0.2077420769601256,0.21883657184439131,-0.2211776038548814,0.6366617577751326
150,0.21743346144134887,0.19160781197487117,-0.15811785002939863,0.5929847729120964
155,0.04378219640766944,0.19047366278683756,-0.32954618265453217,0.41711057546987107
160,0.24272148296338983,0.16579746650513885,-0.0822415513866823,0.5676845173134619
165,-0.02163311257229911,0.17293372769850104,-0.36058321886136113,0.3173169937167629
170,-0.03306328308689485,0.19043142370473307,-0.4063088735481717,0.34018230737438193
175,0.10441276661933735,0.18394907482261735,-0.25612742003299266,0.46495295327166736
180,0.21808556767405476,0.20270506565612628,-0.17921636101195274,0.6153874963600623
185,0.2680263708998832,0.14735072648884126,-0.020781053018245677,0.556833794818012
190,0.35435935153459275,0.16306836518271775,0.03474535577646598,0.6739733472927195
195,0.35941548898890285,0.15215523157614547,0.06119123509965774,0.657639742878148
200,0.2319782169075859,0.1657158859724748,-0.09282491959846467,0.5567813534136365
205,0.3117256999369903,0.17115840030244073,-0.02374476465579356,0.6471961645297741
210,0.3115472019271238,0.1617957644564596,-0.0055724964075369865,0.6286669002617846
215,0.6157855924236195,0.16015694218889182,0.3018779857333916,0.9296931991138475
220,0.48773525994669575,0.18023666174183556,0.13447140293269805,0.8409991169606934
225,0.1913162820762042,0.1469622744573537,-0.09672977586020903,0.47936234001261746
230,0.08002073581466622,0.15385811928188858,-0.2215411779778354,0.38158264960716787
235,0.20081602424106174,0.13471336252199845,-0.06322216630205521,0.46485421478417865
240,0.2637327174561126,0.1623835311736246,-0.05453900364419162,0.5820044385564168
245,0.26645489059395583,0.13464522692294964,0.0025502458249745397,0.5303595353629371
250,0.17547591578479416,0.1343793937758057,-0.08790769601578502,0.43885952758537333
255,0.2902806759110222,0.15008313410596327,-0.0038822669366658236,0.5844436187587102
260,0.29270079832598994,0.13525050620885726,0.027609806156629724,0.5577917904953502
265,0.05386960264551294,0.1427613280837738,-0.2259426003986837,0.33368180568970957
270,0.09790348808595636,0.14358729230164266,-0.18352760482526323,0.379334580997176
275,0.1715939425125684,0.13290199720842608,-0.0888939720159467,0.4320818570410835
280,0.02096476153244295,0.13385794249531746,-0.24139680575837927,0.28332632882326514
285,0.054546683980436154,0.14464409131448017,-0.22895573499594496,0.3380491029568173
290,0.052844708790858244,0.14070900103426054,-0.22294493323629244,0.3286343508180089
295,0.0255940135123557,0.12950435725462467,-0.22823452670670868,0.27942255373142005
300,0.44808561719919116,0.1440935256686671,0.16566230688860367,0.7305089275097787
305,0.23051851761682568,0.1204245754780716,-0.005513650320194657,0.46655068555384605
310,0.31078511321597657,0.15019138045869304,0.01641000751693822,0.6051602189150149
